Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.7976155672967434;0.9315401887893677;0.17447265625;0.7961745523065329;0.24987109375
1;0.6015739738196134;0.7621918642520904;0.124296875;0.7569778727293015;0.23580859375
2;0.5389316063374281;0.6834300418943167;0.10681640625;0.6619973737746477;0.1900546875
3;0.5061959848366677;0.6298218484595418;0.100517578125;0.6800228392779827;0.201630859375
4;0.48418696396052835;0.6092638425529003;0.093056640625;0.6347372295856476;0.180490234375
5;0.46625202216207984;0.5795891167595982;0.0873046875;0.6189649265259505;0.175091796875
6;0.456470038369298;0.5771232572942973;0.08650390625;0.6387788195014;0.18887109375
7;0.4308522917330265;0.548735977113247;0.0798828125;0.5709779618382453;0.153205078125
8;0.41452775213867427;0.5290041931718588;0.075791015625;0.5959740085452795;0.167482421875
9;0.4201173795759678;0.5274972192943096;0.07806640625;0.598401559561491;0.166658203125
10;0.4138460186123848;0.528504054248333;0.07623046875;0.5656926167756319;0.156794921875
11;0.4001781653612852;0.5095825979113578;0.072548828125;0.5737797349393368;0.1576015625
12;0.38875346682965756;0.49614299401640893;0.07041015625;0.6053388992249966;0.170794921875
13;0.38311976309865714;0.49014168955385684;0.0690234375;0.548199340313673;0.14383203125
14;0.3717225352674723;0.47350884415209293;0.06623046875;0.6094857671409846;0.167673828125
15;0.36427369449287655;0.4645140273869038;0.064970703125;0.6026597420573234;0.16696875
16;0.3510409478843212;0.4558097095042467;0.06146484375;0.5669625192135572;0.146478515625
17;0.36994275070726873;0.4761569237709045;0.065849609375;0.5820029145479202;0.15678125
18;0.3506595476716757;0.45050091490149496;0.061865234375;0.6000650383681059;0.16117578125
19;0.3463459447771311;0.4447904834151268;0.059208984375;0.5693100336939096;0.149134765625
20;0.3338019888103008;0.427321772351861;0.0573046875;0.5921336796134711;0.158568359375
21;0.33439808055758474;0.43157044410705564;0.05857421875;0.5893636828064919;0.1533828125
22;0.3312180343270302;0.4214178708195686;0.056904296875;0.6033570320606232;0.15702734375
23;0.32378169167786836;0.4162789773195982;0.055185546875;0.5771981902569533;0.1516640625
24;0.3377845274657011;0.43448314279317857;0.060078125;0.5860746756047011;0.14405859375
25;0.31961745569482447;0.4098771787621081;0.056630859375;0.6085800920948387;0.158546875
26;0.3146364641934633;0.40276572920382026;0.053828125;0.5745717674940825;0.1411328125
27;0.3262582303583622;0.4147120115906;0.0576953125;0.616326293155551;0.15508203125
28;0.3189938524365425;0.41088027976453306;0.05740234375;0.6175814900696278;0.155041015625
29;0.3007390427216887;0.3819397781416774;0.05185546875;0.588394504532218;0.146060546875
30;0.3085419389605522;0.39103307757526634;0.0532421875;0.5740418556183576;0.138998046875
31;0.29880793775897474;0.3784640679880977;0.051396484375;0.5888608219325543;0.143919921875
32;0.29020646285265683;0.36851223252713683;0.04869140625;0.6045797383636237;0.146509765625
