Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.5794080051779747;0.6043947583436966;0.18330078125;0.5352711132615805;0.20764453125
1;0.4563172128051519;0.4681390159204602;0.149404296875;0.46798107866942884;0.1835859375
2;0.430100933201611;0.4358125462383032;0.143525390625;0.4275924674347043;0.16148046875
3;0.3993931223079562;0.4151197334751487;0.134501953125;0.4542425074875355;0.186154296875
4;0.38657040901482104;0.407978060990572;0.12833984375;0.47815785524249077;0.196625
5;0.3747820942103863;0.3944773869216442;0.1258984375;0.4631899666786194;0.195072265625
6;0.3648911088332534;0.3873840245604515;0.1234765625;0.44222284902632236;0.179830078125
7;0.36578650407493113;0.3922494412213564;0.123154296875;0.40978906241059304;0.16
8;0.35038963600993156;0.37400665756314994;0.118330078125;0.3794742908552289;0.14449609375
9;0.3468299932777882;0.36543563708662985;0.117412109375;0.3827986571937799;0.143244140625
10;0.32676274839788677;0.3473023637384176;0.10990234375;0.40194567877054216;0.15437890625
11;0.32862093470990655;0.3552285645902157;0.11060546875;0.4067716655805707;0.158998046875
12;0.3304918137937784;0.35722792204469445;0.111689453125;0.4093868274316192;0.16032421875
13;0.32180715914815666;0.34245533522218463;0.11078125;0.4049510405436158;0.157783203125
14;0.3168583709001541;0.3402578603103757;0.108662109375;0.39111539352685215;0.146259765625
15;0.3075800205022097;0.33631165567785504;0.105791015625;0.3903807604834437;0.145951171875
16;0.305134199000895;0.33074467699974774;0.104287109375;0.39189400993287565;0.143564453125
17;0.30513953022658824;0.3319731933064759;0.1062890625;0.40469762982428076;0.15600390625
18;0.2885595913976431;0.32155693594366314;0.1000390625;0.4169429459273815;0.15908984375
19;0.2871262125298381;0.3134037600457668;0.097900390625;0.41096147549152373;0.156359375
20;0.28472871527075766;0.3145756035670638;0.099892578125;0.39363504154235124;0.147017578125
21;0.28432054979726673;0.314425190910697;0.09865234375;0.42478667713701723;0.16133203125
22;0.27658487498760226;0.30533168982714415;0.095693359375;0.4242527757510543;0.160740234375
23;0.2933239201828837;0.3145980330184102;0.099931640625;0.40533760661631824;0.149029296875
24;0.2737941388785839;0.29860485196113584;0.094267578125;0.4260602118372917;0.161279296875
25;0.2861137421801686;0.3151004570350051;0.1018359375;0.4332390473783016;0.161630859375
26;0.2681602989882231;0.2962313132360578;0.093857421875;0.429594317317009;0.15654296875
27;0.2711294348165393;0.2995178772881627;0.093359375;0.40716171081364155;0.144564453125
