Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.49193183485418557;0.45813763281330466;0.132080078125;0.3721675455495715;0.1056796875
1;0.36382201917469503;0.29844483781605957;0.098916015625;0.32195848363637924;0.09459765625
2;0.3423962229862809;0.27497626390308144;0.0966796875;0.27475755286589265;0.077951171875
3;0.31462498553097246;0.25807958278805015;0.0879296875;0.2860379520431161;0.0836484375
4;0.31102202482521535;0.26025351487100123;0.087890625;0.32723950197547674;0.098517578125
5;0.3070008403435349;0.27599700916558506;0.087158203125;0.2961009914651513;0.08592578125
6;0.30045386297628285;0.2804002252221107;0.08474609375;0.3015281785130501;0.087201171875
7;0.31317363362759354;0.2906057595461607;0.09037109375;0.30067758714407683;0.088341796875
8;0.2955567030236125;0.26636108685284854;0.083837890625;0.2814757713675499;0.08008203125
9;0.2971343263238668;0.2652318411692977;0.085068359375;0.2679627602957189;0.07348046875
10;0.27981395199894904;0.25199345480650664;0.080107421875;0.2861274086870253;0.08105078125
11;0.2780789249762893;0.2631861842423677;0.079072265625;0.29432325857132674;0.08451953125
12;0.2825586738623679;0.26674359031021594;0.082548828125;0.33475679460167884;0.100158203125
13;0.27428932117298244;0.27599841738119724;0.079853515625;0.3220498756766319;0.098091796875
14;0.2718593188747764;0.2787526062875986;0.079609375;0.3223812569156289;0.091845703125
15;0.27403442937880756;0.28117049822583795;0.081005859375;0.3087912986539304;0.088880859375
16;0.2667035139538348;0.2678171430900693;0.079677734375;0.3098782087340951;0.08968359375
17;0.2718054562993348;0.2720246831700206;0.080732421875;0.31850995813310146;0.0938125
18;0.25462045188993215;0.26555260837078093;0.07705078125;0.3161837490573525;0.093302734375
19;0.25119127735495567;0.2553542073816061;0.07580078125;0.3253934825882316;0.09621484375
20;0.25229334328323605;0.26607556991279124;0.077705078125;0.3349516465812922;0.1017734375
21;0.2628435220196843;0.2739250538498163;0.079541015625;0.3508313118070364;0.106365234375
22;0.250339632332325;0.2654773549735546;0.076591796875;0.33574108964949845;0.098326171875
23;0.26330642160028217;0.2766350064240396;0.079423828125;0.3321839818917215;0.097927734375
24;0.244637645278126;0.25949370212852957;0.074833984375;0.3316430571004748;0.095806640625
25;0.2619423061236739;0.2772730734199286;0.08052734375;0.36786771259456874;0.1082109375
26;0.24951456610113382;0.2736380763351917;0.07740234375;0.3639363785758615;0.110001953125
27;0.253487625233829;0.28063386339694263;0.079560546875;0.3692074969410896;0.109748046875
28;0.25566532149910925;0.286013636700809;0.079970703125;0.3841882302239537;0.11676171875
