Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.6938431360945105;0.6709654613956809;0.1562890625;0.6271753527522087;0.191974609375
1;0.5991298305243253;0.5730456780642271;0.135673828125;0.5653075945451855;0.165814453125
2;0.5709295576810837;0.5455558781698346;0.13255859375;0.529774841889739;0.15578125
3;0.5320735201239586;0.526159657984972;0.121123046875;0.6010517817288638;0.19627734375
4;0.5309015490859746;0.5344068181887269;0.121171875;0.6075216234624385;0.195701171875
5;0.5269956904649734;0.5281558480858802;0.122236328125;0.5967658965736627;0.191384765625
6;0.5251809277012944;0.5369428764283657;0.12068359375;0.5591976464688778;0.165275390625
7;0.5356007536500692;0.5500771451741457;0.123994140625;0.5689541907161474;0.17244140625
8;0.5031568498164415;0.5338822486251593;0.11337890625;0.5276392725408077;0.150359375
9;0.5122066982090473;0.5373734349012375;0.11712890625;0.5432937359660864;0.15861328125
10;0.48340917579829695;0.5089780300855636;0.110927734375;0.5630521119087935;0.166779296875
11;0.4934793559461832;0.5274477830529213;0.112666015625;0.5811807283461093;0.17791015625
12;0.4885249802842736;0.5360711532831192;0.110595703125;0.615335061520338;0.1988515625
13;0.47686580594629047;0.5179491842165589;0.110029296875;0.5781378969401121;0.177744140625
14;0.47891701515763996;0.5191883639246225;0.108759765625;0.5693719199448823;0.1678828125
15;0.47325970329344275;0.5173156478255987;0.1090625;0.5644915906041861;0.166359375
16;0.4671821991354227;0.5202328849583864;0.106259765625;0.5798024036884308;0.168931640625
17;0.46909072987735273;0.5180883129686117;0.10578125;0.6226941354721784;0.190828125
18;0.45888018406927583;0.5151300279051065;0.102314453125;0.6074442800283432;0.1853046875
19;0.450831028111279;0.5016672217100858;0.101396484375;0.5975777008831501;0.177595703125
20;0.4533411507308483;0.5100921589881182;0.10087890625;0.5855274181067943;0.169626953125
21;0.45232258580625057;0.4986329580843449;0.10306640625;0.6355802602171898;0.192431640625
22;0.4426882852613926;0.4855164473503828;0.0981640625;0.6079803036749363;0.17991015625
23;0.4611015448719263;0.49963382214307783;0.104365234375;0.5937205400168896;0.170728515625
24;0.43913234777748583;0.4847669150680304;0.099111328125;0.609776978418231;0.179533203125
25;0.45413171134889124;0.4976908029615879;0.103134765625;0.6345047578662634;0.188115234375
26;0.43113632008433345;0.4799315855652094;0.096796875;0.6177852436155081;0.17544921875
27;0.4289376704394817;0.4793839485198259;0.09630859375;0.5971584875732661;0.1646875
