Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.9796292471885681;0.943815649151802;0.22796875;0.926306752383709;0.33945703125
1;0.754787802696228;0.7961903005838394;0.1771484375;0.8317298402190209;0.29187890625
2;0.7040582728385926;0.7467561766505242;0.15859375;0.7716088531017303;0.2292734375
3;0.6110624432563782;0.673889582157135;0.1342578125;0.7574950900673866;0.244390625
4;0.6560321509838104;0.7208716493844985;0.1462109375;0.7010313650667668;0.20646875
5;0.6134281021356582;0.6822032457590104;0.1374609375;0.669557262957096;0.194921875
6;0.5983953821659088;0.6712325924634933;0.1278515625;0.6659498186409474;0.1947265625
7;0.5753975450992584;0.633459250330925;0.1239453125;0.6550877087414265;0.196375
8;0.5898228758573532;0.6547904837131501;0.1294140625;0.6510843131542206;0.1894765625
9;0.5877095335721969;0.6455742752552033;0.1275;0.6409190492331982;0.1855703125
10;0.5478883045911789;0.6065013954043388;0.1197265625;0.6719681586325169;0.2084296875
11;0.5325686395168304;0.5784267055988311;0.12015625;0.6284109021127224;0.18720703125
12;0.5342181575298309;0.5657463711500168;0.1176953125;0.5836368065476417;0.15768359375
13;0.5132733583450317;0.5570623663067817;0.1071875;0.6345365401506424;0.1830390625
14;0.5403095158934593;0.5856064295768738;0.1171484375;0.6563343249559402;0.200421875
15;0.5065983095765114;0.563385591506958;0.1085546875;0.6842544729411602;0.2064296875
16;0.5066166380047799;0.5626496228575707;0.1085546875;0.5856729347407817;0.1676171875
17;0.49352536916732787;0.5487678769230843;0.1022265625;0.5925985588431358;0.1696015625
18;0.48761360079050065;0.5405339229106904;0.1046875;0.6379781268537045;0.190453125
19;0.5155811762809753;0.563382311463356;0.11078125;0.6394570665955543;0.187234375
