Count;Train Loss;Train error;Val error
0;0.0;0.21189453125;0.222005859375
1;0.0;0.23796875;0.23037109375
2;0.0;0.2324609375;0.242498046875
3;0.0;0.25744140625;0.2434140625
4;0.0;0.2586328125;0.260525390625
5;0.0;0.24486328125;0.249833984375
6;0.0;0.26943359375;0.25010546875
7;0.0;0.273203125;0.263654296875
8;0.0;0.2619140625;0.254736328125
9;0.0;0.27859375;0.2900078125
10;0.0;0.261640625;0.243798828125
11;0.0;0.279765625;0.331275390625
12;0.0;0.26216796875;0.284283203125
13;0.0;0.26294921875;0.27403515625
14;0.0;0.275390625;0.3014609375
15;0.0;0.2688671875;0.261275390625
16;0.0;0.27396484375;0.24714453125
17;0.0;0.24462890625;0.25139453125
18;0.0;0.25306640625;0.24671484375
19;0.0;0.28357421875;0.246091796875
20;0.0;0.238828125;0.265232421875
21;0.0;0.23814453125;0.262728515625
22;0.0;0.24966796875;0.225728515625
23;0.0;0.25076171875;0.25027734375
24;0.0;0.24359375;0.233755859375
25;0.0;0.24572265625;0.26137890625
26;0.0;0.23125;0.22237109375
27;0.0;0.22087890625;0.2717265625
28;0.0;0.23515625;0.234173828125
29;0.0;0.22125;0.226919921875
30;0.0;0.21376953125;0.21789453125
31;0.0;0.23212890625;0.21894140625
32;0.0;0.22125;0.2188203125
33;0.0;0.2225390625;0.211525390625
34;0.0;0.21435546875;0.233900390625
35;0.0;0.22427734375;0.2166875
36;0.0;0.22205078125;0.2199609375
37;0.0;0.21849609375;0.226759765625
38;0.0;0.2044921875;0.218640625
39;0.0;0.19998046875;0.218904296875
40;0.0;0.210390625;0.211302734375
41;0.0;0.206640625;0.203857421875
42;0.0;0.2163671875;0.192833984375
43;0.0;0.19041015625;0.208642578125
44;0.0;0.2084765625;0.199154296875
45;0.0;0.189921875;0.217712890625
46;0.0;0.1958984375;0.2047734375
47;0.0;0.19693359375;0.1908515625
48;0.0;0.20296875;0.19223046875
49;0.0;0.197890625;0.1939921875
50;0.0;0.197734375;0.188544921875
51;0.0;0.19806640625;0.194794921875
52;0.0;0.1912890625;0.1907578125
53;0.0;0.1959375;0.185892578125
54;0.0;0.19875;0.182111328125
55;0.0;0.18771484375;0.182978515625
56;0.0;0.18603515625;0.1963203125
57;0.0;0.190625;0.193666015625
58;0.0;0.181796875;0.202076171875
59;0.0;0.1901171875;0.202982421875
60;0.0;0.18529296875;0.20744140625
61;0.0;0.19404296875;0.184802734375
62;0.0;0.17951171875;0.18794921875
63;0.0;0.18638671875;0.18415234375
64;0.0;0.178359375;0.18216796875
65;0.0;0.18494140625;0.18653515625
66;0.0;0.18107421875;0.18294921875
67;0.0;0.18654296875;0.19646875
68;0.0;0.1708984375;0.192158203125
