Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.8023495526611805;1.0695454312860966;0.1692578125;1.0970148453116417;0.4461796875
1;0.6516280148923397;0.9704019789397716;0.129609375;0.8745244743227959;0.291125
2;0.6080202244222164;0.9176460741460324;0.1237890625;1.0049390317797662;0.3822578125
3;0.5571325218677521;0.8583085036277771;0.1084375;1.0211071752607823;0.3865859375
4;0.5331661233305931;0.8370892038941383;0.1054296875;0.9385271756052971;0.3468671875
5;0.5251191566884518;0.8347126238048077;0.102265625;0.9666285108625888;0.3601640625
6;0.49942052356898786;0.812362272888422;0.0967578125;0.9643185076415539;0.3412578125
7;0.4894423386454582;0.8007513834536075;0.0934375;0.8434287248551846;0.2935703125
8;0.47645984403789043;0.7857811473309994;0.088359375;0.7938234767615795;0.2723359375
9;0.46904037989676;0.7818615078926087;0.0892578125;0.8205341250300408;0.2783671875
10;0.4517668944597244;0.7391862697899342;0.0817578125;0.8914331160485744;0.3065546875
11;0.4375206309556961;0.7386073008179664;0.080390625;0.8243471802175045;0.2856171875
12;0.44112391091883185;0.7580465407669544;0.0807421875;0.9265566597282886;0.3283046875
13;0.4243263777345419;0.7361428222805262;0.0784765625;0.8200553935468197;0.282359375
14;0.4111130960285664;0.73092575147748;0.07453125;0.8573316480219364;0.2982421875
15;0.4140984044969082;0.7206853092461825;0.075703125;0.8986151427030563;0.3036953125
16;0.3993090860545635;0.7016140706092119;0.0739453125;0.830931124150753;0.2738359375
17;0.40216440968215467;0.7089090191572904;0.071171875;0.8862888117134571;0.3021015625
18;0.3846589071303606;0.6930841485410929;0.0673046875;0.8427133301794529;0.282984375
19;0.3933552113175392;0.6712722769379615;0.068828125;0.8457344919145108;0.2845
20;0.37867259413003923;0.6800423403084278;0.066484375;0.8141865868866444;0.2701484375
21;0.38702307783067225;0.6781766611337662;0.0703515625;0.9876545410305262;0.3477578125
22;0.3759897255897522;0.6407531841099262;0.0659765625;0.8906297253668308;0.2977265625
23;0.3831837548315525;0.6918914631009102;0.0664453125;0.8961494152247905;0.3091796875
24;0.3622037487477064;0.6352439758181572;0.063125;0.8914622781574726;0.2912578125
25;0.3748516598343849;0.6984921383857727;0.0685546875;0.9617759602963925;0.3155078125
26;0.36343715064227583;0.6518464808166027;0.0655859375;0.854246383190155;0.2776328125
27;0.363897433206439;0.6442385706305503;0.063671875;0.9257362526059151;0.3017578125
