Count;Train Loss;Train Loss2;Train error;Val Loss;Val error
0;0.7593941958248616;0.8113970483839512;0.17140625;0.7350276814699173;0.225689453125
1;0.6077070786058902;0.6854059970378876;0.128603515625;0.6678258384615183;0.196927734375
2;0.5586193644255399;0.6335247191041709;0.119794921875;0.6243662849813699;0.180427734375
3;0.5129790523648262;0.574861713051796;0.106787109375;0.6615828688442708;0.193724609375
4;0.48724541302770374;0.553193612024188;0.098994140625;0.6137568217813969;0.174162109375
5;0.47139063514769075;0.5325094754248858;0.097197265625;0.6646794927120209;0.1955859375
6;0.4554307871311903;0.5207913415879011;0.0901953125;0.5913405828475952;0.164783203125
7;0.4554185103625059;0.5208663050085306;0.09173828125;0.5554313275814057;0.153482421875
8;0.4311509220674634;0.49635554425418377;0.08423828125;0.5250031753182411;0.139400390625
9;0.42467459335923197;0.48714902594685555;0.082890625;0.5407452732026578;0.145451171875
10;0.40540265541523696;0.47360267098993064;0.07818359375;0.5496999606192112;0.148345703125
11;0.3963412317633629;0.4705251159518957;0.07712890625;0.5667211766541004;0.15666015625
12;0.4036627476662397;0.4736196380108595;0.078369140625;0.595057053476572;0.1626953125
13;0.38421143874526026;0.4567819624394178;0.073291015625;0.5625469097495079;0.151185546875
14;0.37996289879083633;0.44827697150409224;0.070791015625;0.5321669365465641;0.139732421875
15;0.38184977509081364;0.44366390515118836;0.073388671875;0.5630316753312945;0.14819921875
16;0.3679336183145642;0.4366273806616664;0.069013671875;0.5598330402374267;0.145896484375
17;0.3677779972180724;0.44310892432928084;0.070986328125;0.5678734685778618;0.1495390625
18;0.3570340359583497;0.41995041638612746;0.066708984375;0.5505026848688722;0.141990234375
19;0.3502111328393221;0.41420379845425487;0.06533203125;0.5683833757191896;0.14819921875
20;0.346192182675004;0.41667437691241505;0.064462890625;0.534684594526887;0.135013671875
21;0.3480410061776638;0.4092121548578143;0.064384765625;0.5684009798541665;0.146748046875
22;0.3406119355559349;0.3983466488867998;0.06255859375;0.578805236339569;0.148697265625
23;0.349872981980443;0.40676565006375315;0.065126953125;0.5553506857901812;0.1421171875
24;0.3331241389364004;0.39020909421145916;0.061494140625;0.5684066146612168;0.143380859375
25;0.34203272238373755;0.40733840748667716;0.06369140625;0.590675188049674;0.148505859375
26;0.32521551579236985;0.3857862596958876;0.06068359375;0.5759505586922169;0.14288671875
27;0.32490710098296405;0.38490518093109133;0.05873046875;0.5720644607692957;0.142580078125
